L,a,b,c,h,r,g,b2
49.95310807517481,-9.820674900369257,-10.226857647635866,14.178655537241564,0.8056563762037254,88,124,136
52.45310807517481,-9.820674900369257,-10.226857647635866,14.178655537241564,0.8056563762037254,94,131,142
54.95310807517481,-9.820674900369257,-10.226857647635866,14.178655537241564,0.8056563762037254,101,137,149
57.45310807517481,-9.820674900369257,-10.226857647635866,14.178655537241564,0.8056563762037254,107,144,155
59.95310807517481,-9.820674900369257,-10.226857647635866,14.178655537241564,0.8056563762037254,113,150,162
49.95310807517481,-16.089717986675304,-16.755188121963766,23.229622336429372,0.8056563762037254,58,128,147
52.45310807517481,-16.089717986675304,-16.755188121963766,23.229622336429372,0.8056563762037254,65,134,153
54.95310807517481,-16.089717986675304,-16.755188121963766,23.229622336429372,0.8056563762037254,72,141,160
57.45310807517481,-16.089717986675304,-16.755188121963766,23.229622336429372,0.8056563762037254,79,147,167
59.95310807517481,-16.089717986675304,-16.755188121963766,23.229622336429372,0.8056563762037254,86,154,173
49.95310807517481,-22.358761072981352,-23.28351859629167,32.280589135617184,0.8056563762037254,0,131,158
52.45310807517481,-22.358761072981352,-23.28351859629167,32.280589135617184,0.8056563762037254,0,137,164
54.95310807517481,-22.358761072981352,-23.28351859629167,32.280589135617184,0.8056563762037254,0,144,171
57.45310807517481,-22.358761072981352,-23.28351859629167,32.280589135617184,0.8056563762037254,23,151,178
59.95310807517481,-22.358761072981352,-23.28351859629167,32.280589135617184,0.8056563762037254,37,157,185
49.95310807517481,-28.6278041592874,-29.811849070619576,41.331555934804996,0.8056563762037254,0,134,169
52.45310807517481,-28.6278041592874,-29.811849070619576,41.331555934804996,0.8056563762037254,0,141,175
54.95310807517481,-28.6278041592874,-29.811849070619576,41.331555934804996,0.8056563762037254,0,147,182
57.45310807517481,-28.6278041592874,-29.811849070619576,41.331555934804996,0.8056563762037254,0,154,189
59.95310807517481,-28.6278041592874,-29.811849070619576,41.331555934804996,0.8056563762037254,0,160,196
49.95310807517481,-34.89684724559344,-36.340179544947475,50.3825227339928,0.8056563762037254,0,137,180
52.45310807517481,-34.89684724559344,-36.340179544947475,50.3825227339928,0.8056563762037254,0,143,187
54.95310807517481,-34.89684724559344,-36.340179544947475,50.3825227339928,0.8056563762037254,0,150,194
57.45310807517481,-34.89684724559344,-36.340179544947475,50.3825227339928,0.8056563762037254,0,157,200
59.95310807517481,-34.89684724559344,-36.340179544947475,50.3825227339928,0.8056563762037254,0,163,207
49.95310807517481,-28.45944834984458,-15.234704938562311,32.280589135617184,0.4914971108447461,0,133,144
52.45310807517481,-28.45944834984458,-15.234704938562311,32.280589135617184,0.4914971108447461,0,139,150
54.95310807517481,-28.45944834984458,-15.234704938562311,32.280589135617184,0.4914971108447461,0,146,157
57.45310807517481,-28.45944834984458,-15.234704938562311,32.280589135617184,0.4914971108447461,17,152,164
59.95310807517481,-28.45944834984458,-15.234704938562311,32.280589135617184,0.4914971108447461,32,159,170
49.95310807517481,-25.725832397801263,-19.499179018173177,32.280589135617184,0.6485767435242358,0,132,151
52.45310807517481,-25.725832397801263,-19.499179018173177,32.280589135617184,0.6485767435242358,0,139,158
54.95310807517481,-25.725832397801263,-19.499179018173177,32.280589135617184,0.6485767435242358,0,145,164
57.45310807517481,-25.725832397801263,-19.499179018173177,32.280589135617184,0.6485767435242358,14,152,171
59.95310807517481,-25.725832397801263,-19.499179018173177,32.280589135617184,0.6485767435242358,31,158,178
49.95310807517481,-22.358761072981352,-23.28351859629167,32.280589135617184,0.8056563762037254,0,131,158
52.45310807517481,-22.358761072981352,-23.28351859629167,32.280589135617184,0.8056563762037254,0,137,164
54.95310807517481,-22.358761072981352,-23.28351859629167,32.280589135617184,0.8056563762037254,0,144,171
57.45310807517481,-22.358761072981352,-23.28351859629167,32.280589135617184,0.8056563762037254,23,151,178
59.95310807517481,-22.358761072981352,-23.28351859629167,32.280589135617184,0.8056563762037254,37,157,185
49.95310807517481,-18.441142846070953,-26.494540673001527,32.280589135617184,0.9627360088832151,0,130,163
52.45310807517481,-18.441142846070953,-26.494540673001527,32.280589135617184,0.9627360088832151,3,136,170
54.95310807517481,-18.441142846070953,-26.494540673001527,32.280589135617184,0.9627360088832151,25,143,177
57.45310807517481,-18.441142846070953,-26.494540673001527,32.280589135617184,0.9627360088832151,38,149,183
59.95310807517481,-18.441142846070953,-26.494540673001527,32.280589135617184,0.9627360088832151,49,156,190
49.95310807517481,-14.069442479646085,-29.05317922800285,32.280589135617184,1.1198156415627047,18,128,168
52.45310807517481,-14.069442479646085,-29.05317922800285,32.280589135617184,1.1198156415627047,33,134,174
54.95310807517481,-14.069442479646085,-29.05317922800285,32.280589135617184,1.1198156415627047,44,141,181
57.45310807517481,-14.069442479646085,-29.05317922800285,32.280589135617184,1.1198156415627047,53,147,188
59.95310807517481,-14.069442479646085,-29.05317922800285,32.280589135617184,1.1198156415627047,62,154,195
